Batch ID,Batch Name,Day,S1,S2,S3,S4,S5,S6,S7,S8,S9
1,btech-ME-1-A,Mon,[T] Applied Physics I (AP),[T] Basic Electrical Engineering (CS),[T] Mathematics IA (RKN),[T] Workshop (AnP),--- LUNCH ---,"[L:130] WorKshop (Gr-1) (AnP,SdC)","[L:130] WorKshop (Gr-1) (AnP,SdC)","[L:130] WorKshop (Gr-1) (AnP,SdC)","[L:130] WorKshop (Gr-1) (AnP,SdC)"
1,btech-ME-1-A,Tue,,,,,--- LUNCH ---,,,"[L:114] Basic Electrical Engineering Lab (Gr-1) (CS,MA)","[L:114] Basic Electrical Engineering Lab (Gr-1) (CS,MA)"
1,btech-ME-1-A,Wed,[T] Mathematics IA (RKN),[T] Applied Physics I (AP),,[T] Basic Electrical Engineering (CS),--- LUNCH ---,[L:122] Applied Physics I Lab (Gr-1) (RD),[L:122] Applied Physics I Lab (Gr-1) (RD),[L:122] Applied Physics I Lab (Gr-1) (RD),
1,btech-ME-1-A,Thu,[T] Basic Electrical Engineering (CS),,[T] Applied Physics I (AP),[T] Mathematics IA (RKN),--- LUNCH ---,,,,
1,btech-ME-1-A,Fri,,[T] Mathematics IA (RKN),[T] Basic Electrical Engineering (CS),[T] Applied Physics I (AP),--- LUNCH ---,,,,

2,btech-CEE-1-A,Mon,[T] Applied Physics I (AP),[T] Basic Electrical Engineering (CS),[T] Mathematics IA (RKN),[T] Workshop (AnP),--- LUNCH ---,[L:122] Applied Physics I Lab (Gr-1) (RD),[L:122] Applied Physics I Lab (Gr-1) (RD),[L:122] Applied Physics I Lab (Gr-1) (RD),
2,btech-CEE-1-A,Tue,"[L:130] WorKshop (Gr-1) (TnS,PbM)","[L:130] WorKshop (Gr-1) (TnS,PbM)","[L:130] WorKshop (Gr-1) (TnS,PbM)","[L:130] WorKshop (Gr-1) (TnS,PbM)",--- LUNCH ---,"[L:114] Basic Electrical Engineering Lab (Gr-1) (CS,MA)","[L:114] Basic Electrical Engineering Lab (Gr-1) (CS,MA)",,
2,btech-CEE-1-A,Wed,[T] Mathematics IA (RKN),[T] Applied Physics I (AP),,[T] Basic Electrical Engineering (CS),--- LUNCH ---,,,,
2,btech-CEE-1-A,Thu,[T] Basic Electrical Engineering (CS),,[T] Applied Physics I (AP),[T] Mathematics IA (RKN),--- LUNCH ---,,,,
2,btech-CEE-1-A,Fri,,[T] Mathematics IA (RKN),[T] Basic Electrical Engineering (CS),[T] Applied Physics I (AP),--- LUNCH ---,,,,

3,btech-FET-1-A,Mon,[T] Applied Physics I (AP),[T] Basic Electrical Engineering (CS),[T] Mathematics IA (RKN),[T] Workshop (AnP),--- LUNCH ---,,,,
3,btech-FET-1-A,Tue,,,,,--- LUNCH ---,[L:122] Applied Physics I Lab (Gr-1) (AP),[L:122] Applied Physics I Lab (Gr-1) (AP),[L:122] Applied Physics I Lab (Gr-1) (AP),
3,btech-FET-1-A,Wed,[T] Mathematics IA (RKN),[T] Applied Physics I (AP),,[T] Basic Electrical Engineering (CS),--- LUNCH ---,,,,
3,btech-FET-1-A,Thu,[T] Basic Electrical Engineering (CS),,[T] Applied Physics I (AP),[T] Mathematics IA (RKN),--- LUNCH ---,"[L:130] WorKshop (Gr-1) (SlM,SdC)","[L:130] WorKshop (Gr-1) (SlM,SdC)","[L:130] WorKshop (Gr-1) (SlM,SdC)","[L:130] WorKshop (Gr-1) (SlM,SdC)"
3,btech-FET-1-A,Fri,,[T] Mathematics IA (RKN),[T] Basic Electrical Engineering (CS),[T] Applied Physics I (AP),--- LUNCH ---,,,"[L:114] Basic Electrical Engineering Lab (Gr-1) (CS,MA)","[L:114] Basic Electrical Engineering Lab (Gr-1) (CS,MA)"

4,btech-EE-1-A,Mon,[T] Mathematics IB (RKN),[T] Basic Electrical Engineering (TkD),[T] Chemistry I (SSD),[T] Engineering Grapics (HbR),--- LUNCH ---,,,,
4,btech-EE-1-A,Tue,,,,,--- LUNCH ---,[L:113] Chemistry I Lab (Gr-1) (AM),[L:113] Chemistry I Lab (Gr-1) (AM),[L:113] Chemistry I Lab (Gr-1) (AM),
4,btech-EE-1-A,Wed,[T] Chemistry I (SSD),[T] Mathematics IB (RKN),,[T] Basic Electrical Engineering (TkD),--- LUNCH ---,,,,
4,btech-EE-1-A,Thu,[T] Basic Electrical Engineering (TkD),,[T] Mathematics IB (RKN),[T] Chemistry I (SSD),--- LUNCH ---,[L:103] Engineering Grapics (HbR),[L:103] Engineering Grapics (HbR),[L:103] Engineering Grapics (HbR),[L:103] Engineering Grapics (HbR)
4,btech-EE-1-A,Fri,,[T] Chemistry I (SSD),[T] Basic Electrical Engineering (TkD),[T] Mathematics IB (RKN),--- LUNCH ---,"[L:114] Basic Electrical Engineering Lab (Gr-1) (SA,AK)","[L:114] Basic Electrical Engineering Lab (Gr-1) (SA,AK)",,

5,btech-EE-1-B,Mon,[T] Mathematics IB (RKN),[T] Basic Electrical Engineering (TkD),[T] Chemistry I (SSD),[T] Engineering Grapics (HbR),--- LUNCH ---,,,,
5,btech-EE-1-B,Tue,,,,,--- LUNCH ---,,,,
